DateTime,Wind,SPP Biomass,Thermal-Oil,Major Hydro,Coal,Solar,SPP Minihydro
2026-06-06 08:00:00,175.38939,20.214999999999996,88.78981799999997,501.52323,607.4331,95.80493399999997,103.40867
2026-06-06 08:15:00,170.07396,21.444,48.73158499999997,452.36105000000003,608.3008,102.19276999999998,104.38996999999999
2026-06-06 08:30:00,162.38783000000004,21.79,37.81370999999996,387.909051,603.2933,125.93788,109.09326999999996
2026-06-06 08:45:00,174.90093000000002,21.491,0.0,400.105,581.4674,125.01169999999998,103.40607
2026-06-06 09:00:00,179.70881999999997,21.160000000000004,0.0,402.47551,549.218,140.26604400000005,92.59826999999997
2026-06-06 09:15:00,173.06253999999996,20.738,0.0,373.29536099999996,524.3329,145.3413549999999,92.10677
2026-06-06 09:30:00,165.68663,21.702,0.0,338.432182,515.4147,134.02751999999998,84.88636999999997
2026-06-06 09:45:00,160.93654999999998,20.363999999999997,0.0,294.76398,509.27830000000006,144.44597600000003,85.72397000000004
2026-06-06 10:00:00,135.46465,19.375,0.0,268.957271,508.8968,156.11700000000002,84.82976999999997
2026-06-06 10:15:00,128.1627,19.729,0.0,258.81467,505.99,176.44646599999993,82.50197000000001
2026-06-06 10:30:00,149.91729,18.362000000000002,0.0,287.20033,500.7999,169.45381,87.30086999999999
2026-06-06 10:45:00,164.55494000000002,16.386,0.0,269.52947,512.6715,175.33832700000002,92.86087
2026-06-06 11:00:00,165.98906,16.696,0.0,255.96853,509.29239999999993,165.38896599999998,94.10556000000001
2026-06-06 11:15:00,118.6205,18.494,0.0,216.39633,506.94860000000006,211.32605999999998,91.97296
2026-06-06 11:30:00,67.52483000000001,18.203,0.0,218.454811,506.5834,192.43882000000008,106.78115999999999
2026-06-06 11:45:00,70.11911,18.801000000000002,0.0,220.85098,510.44960000000003,156.51483199999993,92.20117
2026-06-06 12:00:00,38.85118,18.554000000000002,0.0,245.45967,508.5014,158.78458199999994,78.88627000000001
2026-06-06 12:15:00,85.32050999999998,18.453,0.0,292.684332,504.46760000000006,146.059132,78.02556999999999
2026-06-06 12:30:00,85.62144,14.459,0.0,308.777872,507.6033,136.72811200000004,58.76977000000001
2026-06-06 12:45:00,121.94851,18.014,0.0,256.95998299999997,506.994,149.870382,59.239350000000016
2026-06-06 13:00:00,112.73781,15.967,0.0,280.708132,507.40560000000005,145.467352,52.88867
2026-06-06 13:15:00,105.10770000000001,18.13,0.0,278.98647200000005,506.32410000000004,147.517152,51.371660000000006
2026-06-06 13:30:00,106.64955,17.604,0.0,302.878011,512.0943,129.12872199999998,49.156969999999994
2026-06-06 13:45:00,107.73242,18.950000000000003,0.0,300.118832,510.61620000000005,123.188294,48.411570000000005
2026-06-06 14:00:00,101.65981,20.043,0.0,358.779402,511.2105,98.99940500000002,47.00246999999999
2026-06-06 14:15:00,143.7238,20.506,0.0,360.29621199999997,509.94719999999995,94.73373699999995,59.76537000000001
2026-06-06 14:30:00,160.71304999999998,19.915000000000003,0.0,303.545882,506.6449,150.72468199999997,78.18314999999998
2026-06-06 14:45:00,174.44286,19.656,0.0,329.63569100000007,509.94719999999995,179.89192200000002,78.97487
2026-06-06 15:00:00,167.39797000000002,19.483,0.0,372.561411,507.48130000000003,164.65574999999998,88.15977000000004
2026-06-06 15:15:00,164.64509999999999,18.845,-1.1759999999999877,425.658882,547.7399,146.03039,96.50616999999997
2026-06-06 15:30:00,163.70177,20.29,56.710646,451.215101,581.3766,160.86634199999997,96.76545999999999
2026-06-06 15:45:00,173.82195000000002,21.044999999999998,104.77256199999991,439.47926099999995,623.9277,126.046322,92.21717000000001
2026-06-06 16:00:00,164.51734,19.238,137.21664099999995,448.00836300000003,669.0052999999999,121.45430199999996,99.70366999999999
2026-06-06 16:15:00,157.88209,19.308,153.864098,540.76899,672.5366,115.54922200000001,100.19427000000003
2026-06-06 16:30:00,156.21904,19.543,229.80779700000008,562.8404699999999,696.553,83.848883,93.03667
2026-06-06 16:45:00,172.65434000000002,16.196,227.04331000000008,605.175311,712.3191,74.22995900000004,97.11857000000003
2026-06-06 17:00:00,168.01686,17.796,226.75422699999996,693.1273120000001,737.1869999999999,47.870779000000006,90.57397000000002
2026-06-06 17:15:00,163.90201,16.955,295.9687159999999,674.9502430000001,750.5942,37.425340000000006,105.82207
2026-06-06 17:30:00,164.48083,16.673000000000002,412.085921,663.8163010000001,744.0188,19.162360000000003,93.22575999999997
2026-06-06 17:45:00,175.47571999999997,18.808,477.95446700000014,661.7268809999999,746.5765,12.819301999999993,101.06017000000003
2026-06-06 18:00:00,172.91439000000003,18.259,484.9049739999999,715.045382,749.1483,3.8110019999999984,99.98715999999999
2026-06-06 18:15:00,158.82523,14.258999999999999,477.7912240000001,839.787851,752.2528,0.34600200000000014,96.83287
2026-06-06 18:30:00,168.78055999999998,18.201,484.70202100000006,936.35366,750.5942,2e-06,92.44357000000001
2026-06-06 18:45:00,161.81499,17.953999999999997,483.7403979999999,1086.1633000000002,753.4708,2e-06,100.62517000000004
2026-06-06 19:00:00,174.99205,17.73,487.9853359999999,1129.916412,751.7050999999999,2e-06,103.10667000000002
2026-06-06 19:15:00,174.6284,17.903000000000002,486.91589600000003,1118.160511,752.3447000000001,2e-06,120.74027
2026-06-06 19:30:00,175.2309,17.862,490.0748620000002,1085.5940529999998,752.4658,2e-06,106.53827000000001
2026-06-06 19:45:00,179.04964,17.37,488.4647159999999,1047.533632,757.336,2e-06,97.01007
2026-06-06 20:00:00,167.52518,16.320999999999998,488.48514700000004,1000.73422,756.0879,2e-06,104.62478000000002
2026-06-06 20:15:00,155.08612000000002,15.948,488.03118100000006,945.7699109999999,758.6296,2e-06,115.15876000000002
2026-06-06 20:30:00,177.53130999999996,17.375,487.37142299999994,898.579802,759.3147,2e-06,120.23767000000004
2026-06-06 20:45:00,186.53855,17.322000000000003,487.46530499999983,850.286481,759.2845,2e-06,114.34447000000004
2026-06-06 21:00:00,167.46828000000002,13.779,486.5291299999999,817.693061,757.3361,2e-06,115.11827000000005
2026-06-06 21:15:00,174.00759,13.319,486.45156000000003,759.987462,757.6862000000001,2e-06,111.24086999999997
2026-06-06 21:30:00,183.05134999999999,18.426,487.0441479999999,724.021201,758.7517,2e-06,108.98937
2026-06-06 21:45:00,168.22164999999998,18.142,486.527651,676.8270809999999,757.656,2e-06,112.01306999999998
2026-06-06 22:00:00,180.57343000000003,18.501,486.68679599999996,594.278373,757.8839,2e-06,112.77667000000001
2026-06-06 22:15:00,174.89405,18.433,443.41845000000006,567.3895309999999,757.7013,2e-06,117.03556999999999
2026-06-06 22:30:00,162.2915,13.043,408.47921499999995,568.474422,758.0364000000001,2e-06,125.05346999999995
2026-06-06 22:45:00,164.40350999999998,13.064,384.57778600000006,554.799213,757.7165,2e-06,110.01186999999999
2026-06-06 23:00:00,172.76267,16.779,350.8703249999999,552.161014,757.3512000000001,2e-06,117.19316999999997
2026-06-06 23:15:00,177.49391,16.561999999999998,308.06122999999985,552.3227019999999,757.4884,2e-06,108.55016999999998
2026-06-06 23:30:00,181.82198999999997,12.024,166.93978299999992,650.3221209999999,756.4380000000001,2e-06,111.45747000000003
2026-06-06 23:45:00,171.63157,11.33,166.4362210000001,616.764163,758.5538999999999,2e-06,104.99856999999996
