id,pvEstimate,pvEstimate10,pvEstimate90,periodEnd,createdAt,updatedAt
0,1498.6218,0.0,0.0,2026-06-24T13:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1439.1162,0.0,0.0,2026-06-24T13:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1415.5813,0.0,0.0,2026-06-24T13:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1401.2196,0.0,0.0,2026-06-24T14:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1357.5718,0.0,0.0,2026-06-24T14:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1306.3326,0.0,0.0,2026-06-24T14:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1241.2487,0.0,0.0,2026-06-24T14:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1163.8306,0.0,0.0,2026-06-24T15:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1087.5594,0.0,0.0,2026-06-24T15:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,997.2298,0.0,0.0,2026-06-24T15:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,917.6034,0.0,0.0,2026-06-24T15:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,815.9816,0.0,0.0,2026-06-24T16:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,711.6068,0.0,0.0,2026-06-24T16:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,609.3839,0.0,0.0,2026-06-24T16:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,500.7535,0.0,0.0,2026-06-24T16:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,400.7913,0.0,0.0,2026-06-24T17:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,306.8709,0.0,0.0,2026-06-24T17:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,217.0503,0.0,0.0,2026-06-24T17:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,131.8424,0.0,0.0,2026-06-24T17:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,47.0521,0.0,0.0,2026-06-24T18:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,3.671,0.0,0.0,2026-06-24T18:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T18:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T18:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T19:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T19:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T19:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T19:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T20:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T20:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T20:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T20:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T21:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T21:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T21:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T21:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T22:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T22:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T22:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T22:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T23:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T23:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T23:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T23:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
